id,scode,sname,hospital_id,hospital_name
1,35,Andaman & Nicobar Islands,833,Dr. Rajendra Prasad Government Hospital Mayabunder
2,35,Andaman & Nicobar Islands,1856,Bishop John Richardson Hospital Perka
3,28,Andhra Pradesh,950000043,AREA HOSPITAL PALAKONDA
4,28,Andhra Pradesh,950000021,AREA HOSPITAL PALAMANER
5,28,Andhra Pradesh,2110,CHC Panyam
6,28,Andhra Pradesh,2109,CHC PAMUR
7,28,Andhra Pradesh,950000044,AREA HOSPITAL RAJAM
8,28,Andhra Pradesh,2181,AREA HOSPITAL RAJAMPET
9,28,Andhra Pradesh,2108,CHC ORVAKAL
10,28,Andhra Pradesh,2168,CHC KONDEPI
11,28,Andhra Pradesh,2103,CHC KODUMUR
12,28,Andhra Pradesh,2102,CHC Karvetinagaram
13,28,Andhra Pradesh,2101,CHC KANIGIRI
14,28,Andhra Pradesh,2182,AREA HOSPITAL RAYACHOTY
15,28,Andhra Pradesh,2098,CHC DARSI
16,28,Andhra Pradesh,2097,CHC CUMBUM
17,28,Andhra Pradesh,91280246,All India Institute of Medical Sciences Mangalagiri  AP 
18,28,Andhra Pradesh,2066,Area Hospital Rayadurg
19,28,Andhra Pradesh,2096,CHC ADDANKI
20,28,Andhra Pradesh,2095,AREA HOSPITAL YERRAGONDAPALEM
21,28,Andhra Pradesh,2094,AREA HOSPITAL YEMMIGANUR
22,28,Andhra Pradesh,2065,AREA HOSPITAL TADIPATRI
23,28,Andhra Pradesh,2005,DISTRICT HOSPITAL ANAKAPALLI
24,28,Andhra Pradesh,950000054,AREA HOSPITAL S KOTA
25,28,Andhra Pradesh,2238,AREA HOSPITAL SEETHAMPETA
26,28,Andhra Pradesh,2040,Dr Ysr Kidney Research Centre And Superspecialty Hospital
27,28,Andhra Pradesh,2173,AREA HOSPITAL SALURU
28,28,Andhra Pradesh,2052,GOVERNMENT GENERAL HOSPITAL GUNTUR
